Quantidade (Q),Custo de Pedido (D/Q × S),Custo de Posse (Q/2 × H),Custo Total
50,12000,250,12250
75,8000,375,8375
100,6000,500,6500
125,4800,625,5425
150,4000,750,4750
175,3429,875,4304
200,3000,1000,4000
225,2667,1125,3792
250,2400,1250,3650
275,2182,1375,3557
300,2000,1500,3500
325,1846,1625,3471
346,1734,1730,3464
350,1714,1750,3464
375,1600,1875,3475
400,1500,2000,3500
450,1333,2250,3583
500,1200,2500,3700
550,1091,2750,3841
600,1000,3000,4000
650,923,3250,4173
700,857,3500,4357
750,800,3750,4550
800,750,4000,4750
