Periodo,Mes_Ano,Demanda_Total,Tendencia,Sazonalidade,Ciclo,Ruido,Eventos
1,Jan/2021,733,812,-100,14,7,0
2,Fev/2021,759,824,-80,27,-12,0
3,Mar/2021,854,836,-40,40,18,0
4,Abr/2021,894,848,0,51,-5,0
5,Mai/2021,963,860,20,61,22,0
6,Jun/2021,973,872,40,69,-8,0
7,Jul/2021,1034,884,60,75,15,0
8,Ago/2021,995,896,40,79,-20,0
9,Set/2021,1011,908,20,80,3,0
10,Out/2021,990,920,-20,79,11,0
11,Nov/2021,1052,932,60,75,-15,0
12,Dez/2021,1019,944,0,69,6,0
13,Jan/2022,1208,956,-100,61,-9,300
14,Fev/2022,963,968,-80,51,24,0
15,Mar/2022,977,980,-40,40,-3,0
16,Abr/2022,1036,992,0,27,17,0
17,Mai/2022,1027,1004,20,14,-11,0
18,Jun/2022,1064,1016,40,0,8,0
19,Jul/2022,1052,1028,60,-14,-22,0
20,Ago/2022,1067,1040,40,-27,14,0
21,Set/2022,1037,1052,20,-40,5,0
22,Out/2022,975,1064,-20,-51,-18,0
23,Nov/2022,1085,1076,60,-61,10,0
24,Dez/2022,1012,1088,0,-69,-7,0
25,Jan/2023,741,1100,-100,-75,16,-200
26,Fev/2023,949,1112,-80,-79,-4,0
27,Mar/2023,1025,1124,-40,-80,21,0
28,Abr/2023,1044,1136,0,-79,-13,0
29,Mai/2023,1102,1148,20,-75,9,0
30,Jun/2023,1125,1160,40,-69,-6,0
31,Jul/2023,1190,1172,60,-61,19,0
32,Ago/2023,1157,1184,40,-51,-16,0
33,Set/2023,1180,1196,20,-40,4,0
34,Out/2023,1137,1208,-20,-27,-24,0
35,Nov/2023,1278,1220,60,-14,12,0
36,Dez/2023,1230,1232,0,0,-2,0
37,Jan/2024,1428,1244,-100,14,20,250
38,Fev/2024,1193,1256,-80,27,-10,0
39,Mar/2024,1275,1268,-40,40,7,0
40,Abr/2024,1317,1280,0,51,-14,0
41,Mai/2024,1396,1292,20,61,23,0
42,Jun/2024,1405,1304,40,69,-8,0
43,Jul/2024,1454,1316,60,75,3,0
44,Ago/2024,1428,1328,40,79,-19,0
45,Set/2024,1455,1340,20,80,15,0
46,Out/2024,1406,1352,-20,79,-5,0
47,Nov/2024,1510,1364,60,75,11,0
48,Dez/2024,1428,1376,0,69,-17,0
49,Jan/2025,1535,1388,-100,61,6,180
50,Fev/2025,1346,1400,-80,51,-25,0
51,Mar/2025,1430,1412,-40,40,18,0
52,Abr/2025,1448,1424,0,27,-3,0
53,Mai/2025,1483,1436,20,14,13,0
54,Jun/2025,1479,1448,40,0,-9,0
55,Jul/2025,1528,1460,60,-14,22,0
56,Ago/2025,1478,1472,40,-27,-7,0
57,Set/2025,1468,1484,20,-40,4,0
58,Out/2025,1404,1496,-20,-51,-21,0
59,Nov/2025,1523,1508,60,-61,16,0
60,Dez/2025,1440,1520,0,-69,-11,0
