day,date,sku,item_name,criticality,opening_stock,receipts_qty,closing_stock,po_ids_received,order_placed_qty
1,2024-01-01,ETH-01,Éter Hidráulico Grau Abissal,must-have,57,0,49,,0
1,2024-01-01,LUM-02,Luminária Náutica de Convés,need-to-have,35,0,31,,0
2,2024-01-02,ETH-01,Éter Hidráulico Grau Abissal,must-have,49,0,39,,80
2,2024-01-02,LUM-02,Luminária Náutica de Convés,need-to-have,31,0,28,,0
3,2024-01-03,ETH-01,Éter Hidráulico Grau Abissal,must-have,39,0,31,,0
3,2024-01-03,LUM-02,Luminária Náutica de Convés,need-to-have,28,0,24,,41
4,2024-01-04,ETH-01,Éter Hidráulico Grau Abissal,must-have,31,0,20,,0
4,2024-01-04,LUM-02,Luminária Náutica de Convés,need-to-have,24,0,20,,0
5,2024-01-05,ETH-01,Éter Hidráulico Grau Abissal,must-have,20,0,11,,0
5,2024-01-05,LUM-02,Luminária Náutica de Convés,need-to-have,20,0,15,,0
6,2024-01-06,ETH-01,Éter Hidráulico Grau Abissal,must-have,11,0,2,,0
6,2024-01-06,LUM-02,Luminária Náutica de Convés,need-to-have,15,0,13,,0
7,2024-01-07,ETH-01,Éter Hidráulico Grau Abissal,must-have,2,0,0,,0
7,2024-01-07,LUM-02,Luminária Náutica de Convés,need-to-have,13,0,8,,0
8,2024-01-08,ETH-01,Éter Hidráulico Grau Abissal,must-have,0,0,0,,0
8,2024-01-08,LUM-02,Luminária Náutica de Convés,need-to-have,8,0,5,,0
9,2024-01-09,ETH-01,Éter Hidráulico Grau Abissal,must-have,0,0,0,,0
9,2024-01-09,LUM-02,Luminária Náutica de Convés,need-to-have,5,0,1,,0
10,2024-01-10,ETH-01,Éter Hidráulico Grau Abissal,must-have,0,0,0,,0
10,2024-01-10,LUM-02,Luminária Náutica de Convés,need-to-have,1,0,0,,0
11,2024-01-11,ETH-01,Éter Hidráulico Grau Abissal,must-have,0,0,0,,0
