order_id,order_date,receipt_date,sku,qty_ordered,qty_received,short_qty
ETH-01-PO001,2024-01-02,2024-01-13,ETH-01,80,80,0
LUM-02-PO001,2024-01-03,2024-01-12,LUM-02,41,41,0
LUM-02-PO002,2024-01-16,2024-01-28,LUM-02,38,38,0
ETH-01-PO002,2024-01-18,2024-01-25,ETH-01,73,66,7
ETH-01-PO003,2024-01-28,2024-02-05,ETH-01,86,86,0
LUM-02-PO003,2024-01-31,2024-02-11,LUM-02,41,35,6
ETH-01-PO004,2024-02-09,2024-02-19,ETH-01,86,86,0
LUM-02-PO004,2024-02-14,2024-02-29,LUM-02,43,43,0
ETH-01-PO005,2024-02-23,2024-03-01,ETH-01,82,82,0
LUM-02-PO005,2024-03-02,2024-03-15,LUM-02,40,40,0
ETH-01-PO006,2024-03-05,2024-03-15,ETH-01,73,73,0
ETH-01-PO007,2024-03-18,2024-03-27,ETH-01,75,68,7
LUM-02-PO006,2024-03-19,2024-04-06,LUM-02,43,43,0
ETH-01-PO008,2024-03-29,2024-04-04,ETH-01,77,77,0
ETH-01-PO009,2024-04-08,2024-04-15,ETH-01,72,72,0
LUM-02-PO007,2024-04-09,2024-04-17,LUM-02,45,38,7
ETH-01-PO010,2024-04-18,2024-04-26,ETH-01,79,79,0
LUM-02-PO008,2024-04-19,2024-05-02,LUM-02,44,35,9
ETH-01-PO011,2024-04-29,2024-05-03,ETH-01,77,77,0
LUM-02-PO009,2024-05-04,2024-05-15,LUM-02,39,39,0
ETH-01-PO012,2024-05-09,2024-05-16,ETH-01,79,79,0
LUM-02-PO010,2024-05-18,2024-05-28,LUM-02,38,38,0
ETH-01-PO013,2024-05-20,2024-05-29,ETH-01,76,76,0
LUM-02-PO011,2024-05-30,2024-06-11,LUM-02,44,44,0
ETH-01-PO014,2024-06-01,2024-06-08,ETH-01,86,86,0
ETH-01-PO015,2024-06-14,2024-06-23,ETH-01,71,71,0
LUM-02-PO012,2024-06-14,2024-06-18,LUM-02,44,44,0
ETH-01-PO016,2024-06-26,2024-07-06,ETH-01,85,76,9
LUM-02-PO013,2024-06-26,2024-07-06,LUM-02,40,40,0
LUM-02-PO014,2024-07-09,2024-07-18,LUM-02,38,38,0
ETH-01-PO017,2024-07-10,2024-07-17,ETH-01,72,72,0
ETH-01-PO018,2024-07-19,2024-07-31,ETH-01,72,72,0
LUM-02-PO015,2024-07-20,2024-08-06,LUM-02,44,44,0
ETH-01-PO019,2024-08-02,2024-08-12,ETH-01,78,78,0
LUM-02-PO016,2024-08-10,2024-08-16,LUM-02,40,40,0
ETH-01-PO020,2024-08-15,2024-08-27,ETH-01,85,72,13
LUM-02-PO017,2024-08-18,2024-09-06,LUM-02,46,44,2
ETH-01-PO021,2024-08-30,2024-09-09,ETH-01,85,76,9
LUM-02-PO018,2024-09-10,2024-09-19,LUM-02,40,40,0
ETH-01-PO022,2024-09-12,2024-09-18,ETH-01,72,72,0
ETH-01-PO023,2024-09-21,2024-09-28,ETH-01,73,73,0
LUM-02-PO019,2024-09-22,2024-09-29,LUM-02,40,40,0
ETH-01-PO024,2024-10-01,2024-10-09,ETH-01,75,64,11
LUM-02-PO020,2024-10-02,2024-10-09,LUM-02,44,44,0
ETH-01-PO025,2024-10-11,2024-10-20,ETH-01,75,75,0
LUM-02-PO021,2024-10-13,2024-10-25,LUM-02,40,40,0
ETH-01-PO026,2024-10-24,2024-11-04,ETH-01,81,81,0
LUM-02-PO022,2024-10-27,2024-11-09,LUM-02,45,45,0
ETH-01-PO027,2024-11-08,2024-11-23,ETH-01,71,71,0
LUM-02-PO023,2024-11-14,2024-11-28,LUM-02,45,45,0
ETH-01-PO028,2024-11-25,2024-12-06,ETH-01,83,83,0
LUM-02-PO024,2024-12-02,2024-12-12,LUM-02,44,44,0
ETH-01-PO029,2024-12-10,2024-12-16,ETH-01,77,77,0
LUM-02-PO025,2024-12-16,2024-12-30,LUM-02,43,43,0
ETH-01-PO030,2024-12-20,2024-12-28,ETH-01,72,72,0
ETH-01-PO031,2025-01-01,2025-01-10,ETH-01,75,75,0
LUM-02-PO026,2025-01-03,2025-01-17,LUM-02,41,41,0
