day,date,sku,item_name,criticality,opening_stock,receipts_qty,closing_stock,po_ids_received,order_placed_qty
1,2024-01-01,CAB-07,Cabo Trançado de Sinalização,need-to-have,34,0,29,,0
1,2024-01-01,VLV-11,Válvula de Pressão dos Porões,must-have,52,0,47,,0
2,2024-01-02,CAB-07,Cabo Trançado de Sinalização,need-to-have,29,0,25,,41
2,2024-01-02,VLV-11,Válvula de Pressão dos Porões,must-have,47,0,39,,71
3,2024-01-03,CAB-07,Cabo Trançado de Sinalização,need-to-have,25,0,19,,0
3,2024-01-03,VLV-11,Válvula de Pressão dos Porões,must-have,39,0,29,,0
4,2024-01-04,CAB-07,Cabo Trançado de Sinalização,need-to-have,19,0,16,,0
4,2024-01-04,VLV-11,Válvula de Pressão dos Porões,must-have,29,0,25,,0
5,2024-01-05,CAB-07,Cabo Trançado de Sinalização,need-to-have,16,0,11,,0
5,2024-01-05,VLV-11,Válvula de Pressão dos Porões,must-have,25,0,19,,0
6,2024-01-06,CAB-07,Cabo Trançado de Sinalização,need-to-have,11,0,4,,0
6,2024-01-06,VLV-11,Válvula de Pressão dos Porões,must-have,19,0,16,,0
7,2024-01-07,CAB-07,Cabo Trançado de Sinalização,need-to-have,4,0,0,,0
7,2024-01-07,VLV-11,Válvula de Pressão dos Porões,must-have,16,0,9,,0
8,2024-01-08,CAB-07,Cabo Trançado de Sinalização,need-to-have,0,0,0,,0
8,2024-01-08,VLV-11,Válvula de Pressão dos Porões,must-have,9,0,1,,0
9,2024-01-09,CAB-07,Cabo Trançado de Sinalização,need-to-have,0,0,0,,0
9,2024-01-09,VLV-11,Válvula de Pressão dos Porões,must-have,1,0,0,,0
10,2024-01-10,CAB-07,Cabo Trançado de Sinalização,need-to-have,0,0,0,,0
10,2024-01-10,VLV-11,Válvula de Pressão dos Porões,must-have,0,0,0,,0
11,2024-01-11,CAB-07,Cabo Trançado de Sinalização,need-to-have,0,0,0,,0
11,2024-01-11,VLV-11,Válvula de Pressão dos Porões,must-have,0,0,0,,0
12,2024-01-12,CAB-07,Cabo Trançado de Sinalização,need-to-have,0,0,0,,0
12,2024-01-12,VLV-11,Válvula de Pressão dos Porões,must-have,0,0,0,,0
13,2024-01-13,CAB-07,Cabo Trançado de Sinalização,need-to-have,0,0,0,,0
13,2024-01-13,VLV-11,Válvula de Pressão dos Porões,must-have,0,0,0,,0
14,2024-01-14,CAB-07,Cabo Trançado de Sinalização,need-to-have,0,0,0,,0
