order_id,order_date,receipt_date,sku,qty_ordered,qty_received,short_qty
CAB-07-PO001,2024-01-02,2024-01-18,CAB-07,41,41,0
VLV-11-PO001,2024-01-02,2024-01-14,VLV-11,71,57,14
VLV-11-PO002,2024-01-15,2024-01-23,VLV-11,60,60,0
CAB-07-PO002,2024-01-21,2024-01-27,CAB-07,43,43,0
VLV-11-PO003,2024-01-26,2024-02-04,VLV-11,69,69,0
CAB-07-PO003,2024-01-30,2024-02-08,CAB-07,48,48,0
VLV-11-PO004,2024-02-09,2024-02-20,VLV-11,66,66,0
CAB-07-PO004,2024-02-12,2024-02-20,CAB-07,45,45,0
VLV-11-PO005,2024-02-23,2024-03-03,VLV-11,69,59,10
CAB-07-PO005,2024-02-26,2024-03-03,CAB-07,46,46,0
VLV-11-PO006,2024-03-05,2024-03-14,VLV-11,65,65,0
CAB-07-PO006,2024-03-07,2024-03-21,CAB-07,42,36,6
VLV-11-PO007,2024-03-17,2024-03-28,VLV-11,65,65,0
CAB-07-PO007,2024-03-23,2024-04-03,CAB-07,45,45,0
VLV-11-PO008,2024-03-31,2024-04-14,VLV-11,69,59,10
CAB-07-PO008,2024-04-06,2024-04-19,CAB-07,44,44,0
VLV-11-PO009,2024-04-18,2024-04-25,VLV-11,58,58,0
CAB-07-PO009,2024-04-22,2024-05-03,CAB-07,39,39,0
VLV-11-PO010,2024-04-29,2024-05-12,VLV-11,59,59,0
CAB-07-PO010,2024-05-05,2024-05-12,CAB-07,43,43,0
CAB-07-PO011,2024-05-14,2024-05-25,CAB-07,46,46,0
VLV-11-PO011,2024-05-16,2024-05-25,VLV-11,67,67,0
CAB-07-PO012,2024-05-28,2024-06-01,CAB-07,40,40,0
VLV-11-PO012,2024-05-29,2024-06-07,VLV-11,62,62,0
CAB-07-PO013,2024-06-04,2024-06-13,CAB-07,40,40,0
VLV-11-PO013,2024-06-10,2024-06-20,VLV-11,62,62,0
CAB-07-PO014,2024-06-16,2024-06-24,CAB-07,46,46,0
VLV-11-PO014,2024-06-23,2024-07-03,VLV-11,68,68,0
CAB-07-PO015,2024-06-29,2024-07-11,CAB-07,43,43,0
VLV-11-PO015,2024-07-07,2024-07-16,VLV-11,62,62,0
CAB-07-PO016,2024-07-14,2024-07-29,CAB-07,42,42,0
VLV-11-PO016,2024-07-19,2024-08-02,VLV-11,63,63,0
CAB-07-PO017,2024-08-01,2024-08-14,CAB-07,45,43,2
VLV-11-PO017,2024-08-06,2024-08-19,VLV-11,64,64,0
CAB-07-PO018,2024-08-17,2024-08-27,CAB-07,41,41,0
VLV-11-PO018,2024-08-22,2024-08-31,VLV-11,70,70,0
CAB-07-PO019,2024-08-30,2024-09-13,CAB-07,41,41,0
VLV-11-PO019,2024-09-04,2024-09-14,VLV-11,58,58,0
CAB-07-PO020,2024-09-17,2024-09-24,CAB-07,41,41,0
VLV-11-PO020,2024-09-17,2024-09-28,VLV-11,60,60,0
CAB-07-PO021,2024-09-27,2024-10-09,CAB-07,43,43,0
VLV-11-PO021,2024-10-01,2024-10-12,VLV-11,66,66,0
CAB-07-PO022,2024-10-12,2024-10-23,CAB-07,41,33,8
VLV-11-PO022,2024-10-16,2024-10-26,VLV-11,64,64,0
CAB-07-PO023,2024-10-24,2024-11-04,CAB-07,40,40,0
VLV-11-PO023,2024-10-29,2024-11-10,VLV-11,58,58,0
CAB-07-PO024,2024-11-07,2024-11-17,CAB-07,44,44,0
VLV-11-PO024,2024-11-12,2024-11-26,VLV-11,61,52,9
CAB-07-PO025,2024-11-20,2024-11-27,CAB-07,44,44,0
VLV-11-PO025,2024-11-28,2024-12-08,VLV-11,67,67,0
CAB-07-PO026,2024-12-01,2024-12-12,CAB-07,40,40,0
CAB-07-PO027,2024-12-13,2024-12-28,CAB-07,41,33,8
VLV-11-PO026,2024-12-13,2024-12-25,VLV-11,59,50,9
VLV-11-PO027,2024-12-27,2025-01-11,VLV-11,69,62,7
CAB-07-PO028,2024-12-29,2025-01-13,CAB-07,42,42,0
VLV-11-PO028,2025-01-14,2025-01-24,VLV-11,60,60,0
CAB-07-PO029,2025-01-15,2025-01-26,CAB-07,42,42,0
VLV-11-PO029,2025-01-27,2025-02-02,VLV-11,62,50,12
CAB-07-PO030,2025-01-29,2025-02-12,CAB-07,39,39,0
VLV-11-PO030,2025-02-03,2025-02-15,VLV-11,71,71,0
CAB-07-PO031,2025-02-15,2025-02-26,CAB-07,39,39,0
VLV-11-PO031,2025-02-20,2025-03-11,VLV-11,69,69,0
CAB-07-PO032,2025-03-01,2025-03-10,CAB-07,42,42,0
CAB-07-PO033,2025-03-13,2025-03-22,CAB-07,40,32,8
VLV-11-PO032,2025-03-14,2025-03-25,VLV-11,65,65,0
CAB-07-PO034,2025-03-23,2025-03-31,CAB-07,40,40,0
VLV-11-PO033,2025-03-28,2025-04-07,VLV-11,62,62,0
CAB-07-PO035,2025-04-03,2025-04-13,CAB-07,47,47,0
VLV-11-PO034,2025-04-10,2025-04-23,VLV-11,58,58,0
CAB-07-PO036,2025-04-16,2025-04-25,CAB-07,48,48,0
VLV-11-PO035,2025-04-25,2025-05-09,VLV-11,69,69,0
CAB-07-PO037,2025-04-28,2025-05-09,CAB-07,42,40,2
CAB-07-PO038,2025-05-12,2025-05-24,CAB-07,48,43,5
VLV-11-PO036,2025-05-14,2025-06-01,VLV-11,59,59,0
CAB-07-PO039,2025-05-27,2025-06-01,CAB-07,41,41,0
VLV-11-PO037,2025-06-03,2025-06-13,VLV-11,58,58,0
CAB-07-PO040,2025-06-05,2025-06-17,CAB-07,42,36,6
VLV-11-PO038,2025-06-15,2025-06-27,VLV-11,68,68,0
CAB-07-PO041,2025-06-19,2025-06-27,CAB-07,42,42,0
CAB-07-PO042,2025-06-30,2025-07-11,CAB-07,44,37,7
VLV-11-PO039,2025-07-02,2025-07-13,VLV-11,64,64,0
CAB-07-PO043,2025-07-13,2025-07-23,CAB-07,43,43,0
VLV-11-PO040,2025-07-17,2025-07-25,VLV-11,69,69,0
CAB-07-PO044,2025-07-27,2025-08-09,CAB-07,46,46,0
VLV-11-PO041,2025-07-30,2025-08-12,VLV-11,59,59,0
CAB-07-PO045,2025-08-12,2025-08-21,CAB-07,43,41,2
VLV-11-PO042,2025-08-14,2025-08-26,VLV-11,69,69,0
CAB-07-PO046,2025-08-24,2025-09-01,CAB-07,45,45,0
VLV-11-PO043,2025-08-29,2025-09-12,VLV-11,67,64,3
CAB-07-PO047,2025-09-05,2025-09-12,CAB-07,42,42,0
VLV-11-PO044,2025-09-14,2025-09-26,VLV-11,58,58,0
CAB-07-PO048,2025-09-15,2025-09-22,CAB-07,43,41,2
CAB-07-PO049,2025-09-23,2025-10-03,CAB-07,44,44,0
VLV-11-PO045,2025-09-28,2025-10-12,VLV-11,68,68,0
CAB-07-PO050,2025-10-08,2025-10-15,CAB-07,48,48,0
VLV-11-PO046,2025-10-16,2025-10-24,VLV-11,70,60,10
CAB-07-PO051,2025-10-20,2025-10-27,CAB-07,47,47,0
VLV-11-PO047,2025-10-27,2025-11-06,VLV-11,66,66,0
CAB-07-PO052,2025-10-31,2025-11-13,CAB-07,46,46,0
VLV-11-PO048,2025-11-09,2025-11-21,VLV-11,64,64,0
CAB-07-PO053,2025-11-16,2025-11-28,CAB-07,42,42,0
VLV-11-PO049,2025-11-26,2025-12-01,VLV-11,59,59,0
CAB-07-PO054,2025-11-30,2025-12-12,CAB-07,41,41,0
