day,date,sku,item_name,criticality,opening_stock,receipts_qty,closing_stock,po_ids_received,order_placed_qty
1,2024-01-01,FLT-21,Filtro de Névoa do Turboeixo,must-have,42,0,35,,0
1,2024-01-01,JNT-05,Junta de Vedação do Casco,need-to-have,52,0,48,,0
2,2024-01-02,FLT-21,Filtro de Névoa do Turboeixo,must-have,35,0,29,,68
2,2024-01-02,JNT-05,Junta de Vedação do Casco,need-to-have,48,0,43,,0
3,2024-01-03,FLT-21,Filtro de Névoa do Turboeixo,must-have,29,0,20,,0
3,2024-01-03,JNT-05,Junta de Vedação do Casco,need-to-have,43,0,37,,57
4,2024-01-04,FLT-21,Filtro de Névoa do Turboeixo,must-have,20,0,10,,0
4,2024-01-04,JNT-05,Junta de Vedação do Casco,need-to-have,37,0,32,,0
5,2024-01-05,FLT-21,Filtro de Névoa do Turboeixo,must-have,10,0,3,,0
5,2024-01-05,JNT-05,Junta de Vedação do Casco,need-to-have,32,0,28,,0
6,2024-01-06,FLT-21,Filtro de Névoa do Turboeixo,must-have,3,0,0,,0
6,2024-01-06,JNT-05,Junta de Vedação do Casco,need-to-have,28,0,25,,0
7,2024-01-07,FLT-21,Filtro de Névoa do Turboeixo,must-have,0,0,0,,0
7,2024-01-07,JNT-05,Junta de Vedação do Casco,need-to-have,25,0,19,,0
8,2024-01-08,FLT-21,Filtro de Névoa do Turboeixo,must-have,0,0,0,,0
8,2024-01-08,JNT-05,Junta de Vedação do Casco,need-to-have,19,0,13,,0
9,2024-01-09,FLT-21,Filtro de Névoa do Turboeixo,must-have,0,0,0,,0
9,2024-01-09,JNT-05,Junta de Vedação do Casco,need-to-have,13,0,4,,0
10,2024-01-10,FLT-21,Filtro de Névoa do Turboeixo,must-have,0,0,0,,0
10,2024-01-10,JNT-05,Junta de Vedação do Casco,need-to-have,4,0,1,,0
11,2024-01-11,FLT-21,Filtro de Névoa do Turboeixo,must-have,0,0,0,,0
11,2024-01-11,JNT-05,Junta de Vedação do Casco,need-to-have,1,0,0,,0
12,2024-01-12,FLT-21,Filtro de Névoa do Turboeixo,must-have,0,0,0,,0
12,2024-01-12,JNT-05,Junta de Vedação do Casco,need-to-have,0,0,0,,0
13,2024-01-13,FLT-21,Filtro de Névoa do Turboeixo,must-have,0,0,0,,0
13,2024-01-13,JNT-05,Junta de Vedação do Casco,need-to-have,0,57,52,JNT-05-PO001,0
14,2024-01-14,FLT-21,Filtro de Névoa do Turboeixo,must-have,0,68,59,FLT-21-PO001,0
14,2024-01-14,JNT-05,Junta de Vedação do Casco,need-to-have,52,0,44,,0
15,2024-01-15,FLT-21,Filtro de Névoa do Turboeixo,must-have,59,0,51,,0
15,2024-01-15,JNT-05,Junta de Vedação do Casco,need-to-have,44,0,42,,0
16,2024-01-16,FLT-21,Filtro de Névoa do Turboeixo,must-have,51,0,44,,0
16,2024-01-16,JNT-05,Junta de Vedação do Casco,need-to-have,42,0,35,,60
17,2024-01-17,FLT-21,Filtro de Névoa do Turboeixo,must-have,44,0,39,,0
17,2024-01-17,JNT-05,Junta de Vedação do Casco,need-to-have,35,0,28,,0
18,2024-01-18,FLT-21,Filtro de Névoa do Turboeixo,must-have,39,0,30,,69
18,2024-01-18,JNT-05,Junta de Vedação do Casco,need-to-have,28,0,23,,0
19,2024-01-19,FLT-21,Filtro de Névoa do Turboeixo,must-have,30,0,24,,0
19,2024-01-19,JNT-05,Junta de Vedação do Casco,need-to-have,23,0,18,,0
20,2024-01-20,FLT-21,Filtro de Névoa do Turboeixo,must-have,24,0,13,,0
20,2024-01-20,JNT-05,Junta de Vedação do Casco,need-to-have,18,0,14,,0
21,2024-01-21,FLT-21,Filtro de Névoa do Turboeixo,must-have,13,0,7,,0
21,2024-01-21,JNT-05,Junta de Vedação do Casco,need-to-have,14,0,8,,0
22,2024-01-22,FLT-21,Filtro de Névoa do Turboeixo,must-have,7,0,1,,0
22,2024-01-22,JNT-05,Junta de Vedação do Casco,need-to-have,8,0,2,,0
23,2024-01-23,FLT-21,Filtro de Névoa do Turboeixo,must-have,1,0,0,,0
23,2024-01-23,JNT-05,Junta de Vedação do Casco,need-to-have,2,0,0,,0
24,2024-01-24,FLT-21,Filtro de Névoa do Turboeixo,must-have,0,69,63,FLT-21-PO002,0
24,2024-01-24,JNT-05,Junta de Vedação do Casco,need-to-have,0,0,0,,0
