order_id,order_date,receipt_date,sku,qty_ordered,qty_received,short_qty
FLT-21-PO001,2024-01-02,2024-01-14,FLT-21,68,68,0
JNT-05-PO001,2024-01-03,2024-01-13,JNT-05,57,57,0
JNT-05-PO002,2024-01-16,2024-01-28,JNT-05,60,60,0
FLT-21-PO002,2024-01-18,2024-01-24,FLT-21,69,69,0
FLT-21-PO003,2024-01-28,2024-02-06,FLT-21,60,60,0
JNT-05-PO003,2024-01-30,2024-02-09,JNT-05,61,61,0
FLT-21-PO004,2024-02-10,2024-02-19,FLT-21,69,69,0
JNT-05-PO004,2024-02-14,2024-02-25,JNT-05,57,57,0
FLT-21-PO005,2024-02-24,2024-02-29,FLT-21,66,59,7
JNT-05-PO005,2024-02-28,2024-03-10,JNT-05,60,60,0
FLT-21-PO006,2024-03-04,2024-03-15,FLT-21,70,70,0
JNT-05-PO006,2024-03-13,2024-03-20,JNT-05,59,59,0
FLT-21-PO007,2024-03-20,2024-03-28,FLT-21,67,60,7
JNT-05-PO007,2024-03-25,2024-04-04,JNT-05,58,58,0
FLT-21-PO008,2024-03-30,2024-04-08,FLT-21,68,68,0
JNT-05-PO008,2024-04-07,2024-04-17,JNT-05,62,62,0
FLT-21-PO009,2024-04-13,2024-04-19,FLT-21,67,67,0
JNT-05-PO009,2024-04-21,2024-05-06,JNT-05,56,48,8
FLT-21-PO010,2024-04-23,2024-04-30,FLT-21,66,66,0
FLT-21-PO011,2024-05-05,2024-05-08,FLT-21,61,52,9
JNT-05-PO010,2024-05-07,2024-05-24,JNT-05,56,56,0
FLT-21-PO012,2024-05-11,2024-05-21,FLT-21,61,61,0
FLT-21-PO013,2024-05-25,2024-06-04,FLT-21,70,70,0
JNT-05-PO011,2024-05-26,2024-06-01,JNT-05,62,56,6
JNT-05-PO012,2024-06-06,2024-06-26,JNT-05,65,65,0
FLT-21-PO014,2024-06-09,2024-06-17,FLT-21,61,52,9
FLT-21-PO015,2024-06-20,2024-06-28,FLT-21,71,71,0
JNT-05-PO013,2024-06-30,2024-07-12,JNT-05,66,66,0
FLT-21-PO016,2024-07-02,2024-07-12,FLT-21,71,71,0
JNT-05-PO014,2024-07-16,2024-07-25,JNT-05,65,65,0
FLT-21-PO017,2024-07-17,2024-07-25,FLT-21,68,68,0
FLT-21-PO018,2024-07-30,2024-08-05,FLT-21,60,60,0
JNT-05-PO015,2024-07-30,2024-08-13,JNT-05,55,55,0
FLT-21-PO019,2024-08-09,2024-08-16,FLT-21,69,69,0
JNT-05-PO016,2024-08-15,2024-08-26,JNT-05,66,66,0
FLT-21-PO020,2024-08-21,2024-08-30,FLT-21,73,73,0
JNT-05-PO017,2024-08-31,2024-09-08,JNT-05,57,57,0
FLT-21-PO021,2024-09-03,2024-09-13,FLT-21,63,63,0
JNT-05-PO018,2024-09-10,2024-09-24,JNT-05,68,68,0
FLT-21-PO022,2024-09-17,2024-09-24,FLT-21,69,69,0
JNT-05-PO019,2024-09-28,2024-10-02,JNT-05,57,57,0
FLT-21-PO023,2024-09-29,2024-10-07,FLT-21,71,71,0
JNT-05-PO020,2024-10-09,2024-10-20,JNT-05,65,65,0
FLT-21-PO024,2024-10-13,2024-10-20,FLT-21,66,63,3
FLT-21-PO025,2024-10-23,2024-10-30,FLT-21,60,60,0
JNT-05-PO021,2024-10-23,2024-11-01,JNT-05,66,56,10
FLT-21-PO026,2024-11-03,2024-11-10,FLT-21,66,66,0
JNT-05-PO022,2024-11-03,2024-11-16,JNT-05,64,64,0
FLT-21-PO027,2024-11-15,2024-11-24,FLT-21,68,68,0
JNT-05-PO023,2024-11-19,2024-12-06,JNT-05,56,56,0
FLT-21-PO028,2024-11-28,2024-12-08,FLT-21,69,69,0
JNT-05-PO024,2024-12-08,2024-12-21,JNT-05,66,66,0
FLT-21-PO029,2024-12-12,2024-12-19,FLT-21,67,67,0
FLT-21-PO030,2024-12-22,2024-12-29,FLT-21,65,65,0
JNT-05-PO025,2024-12-25,2025-01-11,JNT-05,60,48,12
FLT-21-PO031,2025-01-02,2025-01-13,FLT-21,61,61,0
JNT-05-PO026,2025-01-11,2025-01-28,JNT-05,64,64,0
FLT-21-PO032,2025-01-16,2025-01-26,FLT-21,61,61,0
FLT-21-PO033,2025-01-30,2025-02-07,FLT-21,67,67,0
JNT-05-PO027,2025-02-01,2025-02-07,JNT-05,59,59,0
FLT-21-PO034,2025-02-12,2025-02-20,FLT-21,60,60,0
JNT-05-PO028,2025-02-14,2025-02-25,JNT-05,62,62,0
FLT-21-PO035,2025-02-23,2025-03-04,FLT-21,62,62,0
JNT-05-PO029,2025-03-02,2025-03-16,JNT-05,64,51,13
FLT-21-PO036,2025-03-07,2025-03-12,FLT-21,61,61,0
FLT-21-PO037,2025-03-16,2025-03-24,FLT-21,73,73,0
JNT-05-PO030,2025-03-17,2025-03-27,JNT-05,59,59,0
FLT-21-PO038,2025-03-29,2025-04-04,FLT-21,60,60,0
JNT-05-PO031,2025-03-30,2025-04-12,JNT-05,66,66,0
FLT-21-PO039,2025-04-07,2025-04-13,FLT-21,60,48,12
FLT-21-PO040,2025-04-15,2025-04-25,FLT-21,61,49,12
JNT-05-PO032,2025-04-17,2025-04-29,JNT-05,62,62,0
FLT-21-PO041,2025-04-27,2025-05-02,FLT-21,63,63,0
JNT-05-PO033,2025-05-02,2025-05-16,JNT-05,59,59,0
FLT-21-PO042,2025-05-06,2025-05-12,FLT-21,61,61,0
FLT-21-PO043,2025-05-16,2025-05-22,FLT-21,64,64,0
JNT-05-PO034,2025-05-19,2025-06-02,JNT-05,61,61,0
FLT-21-PO044,2025-05-26,2025-06-01,FLT-21,71,71,0
FLT-21-PO045,2025-06-05,2025-06-11,FLT-21,62,56,6
JNT-05-PO035,2025-06-05,2025-06-19,JNT-05,61,61,0
FLT-21-PO046,2025-06-13,2025-06-18,FLT-21,72,72,0
JNT-05-PO036,2025-06-23,2025-07-07,JNT-05,63,63,0
FLT-21-PO047,2025-06-24,2025-07-04,FLT-21,67,54,13
FLT-21-PO048,2025-07-06,2025-07-12,FLT-21,61,52,9
JNT-05-PO037,2025-07-09,2025-07-21,JNT-05,66,66,0
FLT-21-PO049,2025-07-15,2025-07-23,FLT-21,61,61,0
FLT-21-PO050,2025-07-26,2025-08-01,FLT-21,72,72,0
JNT-05-PO038,2025-07-26,2025-08-08,JNT-05,66,66,0
FLT-21-PO051,2025-08-06,2025-08-12,FLT-21,60,60,0
JNT-05-PO039,2025-08-11,2025-08-23,JNT-05,68,68,0
FLT-21-PO052,2025-08-15,2025-08-22,FLT-21,68,68,0
FLT-21-PO053,2025-08-26,2025-09-01,FLT-21,62,62,0
JNT-05-PO040,2025-08-26,2025-09-03,JNT-05,56,48,8
FLT-21-PO054,2025-09-04,2025-09-12,FLT-21,70,70,0
JNT-05-PO041,2025-09-06,2025-09-20,JNT-05,64,64,0
FLT-21-PO055,2025-09-17,2025-09-25,FLT-21,61,61,0
JNT-05-PO042,2025-09-22,2025-10-12,JNT-05,58,58,0
FLT-21-PO056,2025-09-30,2025-10-06,FLT-21,64,64,0
FLT-21-PO057,2025-10-10,2025-10-18,FLT-21,73,73,0
JNT-05-PO043,2025-10-14,2025-10-22,JNT-05,68,68,0
FLT-21-PO058,2025-10-23,2025-10-31,FLT-21,60,60,0
JNT-05-PO044,2025-10-28,2025-11-07,JNT-05,67,67,0
FLT-21-PO059,2025-11-03,2025-11-10,FLT-21,72,72,0
JNT-05-PO045,2025-11-11,2025-11-16,JNT-05,60,60,0
FLT-21-PO060,2025-11-15,2025-11-22,FLT-21,72,72,0
JNT-05-PO046,2025-11-23,2025-12-06,JNT-05,58,58,0
FLT-21-PO061,2025-11-27,2025-12-04,FLT-21,70,70,0
