day,date,sku,item_name,criticality,opening_stock,receipts_qty,closing_stock,po_ids_received,order_placed_qty
1,2024-01-01,BMB-31,Bomba Auxiliar de Refrigeração,must-have,64,0,59,,0
1,2024-01-01,FUS-12,Fusível Fotônico de Painel,need-to-have,38,0,35,,0
2,2024-01-02,BMB-31,Bomba Auxiliar de Refrigeração,must-have,59,0,50,,74
2,2024-01-02,FUS-12,Fusível Fotônico de Painel,need-to-have,35,0,30,,0
3,2024-01-03,BMB-31,Bomba Auxiliar de Refrigeração,must-have,50,0,45,,0
3,2024-01-03,FUS-12,Fusível Fotônico de Painel,need-to-have,30,0,20,,57
4,2024-01-04,BMB-31,Bomba Auxiliar de Refrigeração,must-have,45,0,37,,0
4,2024-01-04,FUS-12,Fusível Fotônico de Painel,need-to-have,20,0,11,,0
5,2024-01-05,BMB-31,Bomba Auxiliar de Refrigeração,must-have,37,0,34,,0
5,2024-01-05,FUS-12,Fusível Fotônico de Painel,need-to-have,11,0,3,,0
6,2024-01-06,BMB-31,Bomba Auxiliar de Refrigeração,must-have,34,0,30,,0
6,2024-01-06,FUS-12,Fusível Fotônico de Painel,need-to-have,3,0,0,,0
7,2024-01-07,BMB-31,Bomba Auxiliar de Refrigeração,must-have,30,0,27,,0
7,2024-01-07,FUS-12,Fusível Fotônico de Painel,need-to-have,0,57,49,FUS-12-PO001,0
8,2024-01-08,BMB-31,Bomba Auxiliar de Refrigeração,must-have,27,0,24,,0
8,2024-01-08,FUS-12,Fusível Fotônico de Painel,need-to-have,49,0,44,,0
9,2024-01-09,BMB-31,Bomba Auxiliar de Refrigeração,must-have,24,0,17,,0
9,2024-01-09,FUS-12,Fusível Fotônico de Painel,need-to-have,44,0,38,,0
10,2024-01-10,BMB-31,Bomba Auxiliar de Refrigeração,must-have,17,0,10,,0
10,2024-01-10,FUS-12,Fusível Fotônico de Painel,need-to-have,38,0,31,,0
11,2024-01-11,BMB-31,Bomba Auxiliar de Refrigeração,must-have,10,63,68,BMB-31-PO001,0
11,2024-01-11,FUS-12,Fusível Fotônico de Painel,need-to-have,31,0,25,,68
12,2024-01-12,BMB-31,Bomba Auxiliar de Refrigeração,must-have,68,0,61,,0
12,2024-01-12,FUS-12,Fusível Fotônico de Painel,need-to-have,25,0,12,,0
13,2024-01-13,BMB-31,Bomba Auxiliar de Refrigeração,must-have,61,0,54,,0
13,2024-01-13,FUS-12,Fusível Fotônico de Painel,need-to-have,12,0,6,,0
14,2024-01-14,BMB-31,Bomba Auxiliar de Refrigeração,must-have,54,0,50,,68
14,2024-01-14,FUS-12,Fusível Fotônico de Painel,need-to-have,6,0,0,,0
15,2024-01-15,BMB-31,Bomba Auxiliar de Refrigeração,must-have,50,0,44,,0
15,2024-01-15,FUS-12,Fusível Fotônico de Painel,need-to-have,0,0,0,,0
16,2024-01-16,BMB-31,Bomba Auxiliar de Refrigeração,must-have,44,0,38,,0
16,2024-01-16,FUS-12,Fusível Fotônico de Painel,need-to-have,0,0,0,,0
17,2024-01-17,BMB-31,Bomba Auxiliar de Refrigeração,must-have,38,0,34,,0
17,2024-01-17,FUS-12,Fusível Fotônico de Painel,need-to-have,0,0,0,,0
18,2024-01-18,BMB-31,Bomba Auxiliar de Refrigeração,must-have,34,0,29,,0
18,2024-01-18,FUS-12,Fusível Fotônico de Painel,need-to-have,0,68,62,FUS-12-PO002,0
19,2024-01-19,BMB-31,Bomba Auxiliar de Refrigeração,must-have,29,0,26,,0
19,2024-01-19,FUS-12,Fusível Fotônico de Painel,need-to-have,62,0,55,,0
20,2024-01-20,BMB-31,Bomba Auxiliar de Refrigeração,must-have,26,0,20,,0
20,2024-01-20,FUS-12,Fusível Fotônico de Painel,need-to-have,55,0,46,,0
21,2024-01-21,BMB-31,Bomba Auxiliar de Refrigeração,must-have,20,0,16,,0
21,2024-01-21,FUS-12,Fusível Fotônico de Painel,need-to-have,46,0,40,,0
22,2024-01-22,BMB-31,Bomba Auxiliar de Refrigeração,must-have,16,0,10,,0
22,2024-01-22,FUS-12,Fusível Fotônico de Painel,need-to-have,40,0,37,,0
23,2024-01-23,BMB-31,Bomba Auxiliar de Refrigeração,must-have,10,0,4,,0
23,2024-01-23,FUS-12,Fusível Fotônico de Painel,need-to-have,37,0,33,,0
24,2024-01-24,BMB-31,Bomba Auxiliar de Refrigeração,must-have,4,0,0,,0
24,2024-01-24,FUS-12,Fusível Fotônico de Painel,need-to-have,33,0,26,,69
25,2024-01-25,BMB-31,Bomba Auxiliar de Refrigeração,must-have,0,0,0,,0
25,2024-01-25,FUS-12,Fusível Fotônico de Painel,need-to-have,26,0,21,,0
26,2024-01-26,BMB-31,Bomba Auxiliar de Refrigeração,must-have,0,0,0,,0
26,2024-01-26,FUS-12,Fusível Fotônico de Painel,need-to-have,21,0,14,,0
27,2024-01-27,BMB-31,Bomba Auxiliar de Refrigeração,must-have,0,0,0,,0
27,2024-01-27,FUS-12,Fusível Fotônico de Painel,need-to-have,14,0,6,,0
28,2024-01-28,BMB-31,Bomba Auxiliar de Refrigeração,must-have,0,68,62,BMB-31-PO002,0
28,2024-01-28,FUS-12,Fusível Fotônico de Painel,need-to-have,6,0,1,,0
29,2024-01-29,BMB-31,Bomba Auxiliar de Refrigeração,must-have,62,0,59,,0
29,2024-01-29,FUS-12,Fusível Fotônico de Painel,need-to-have,1,0,0,,0
30,2024-01-30,BMB-31,Bomba Auxiliar de Refrigeração,must-have,59,0,54,,0
30,2024-01-30,FUS-12,Fusível Fotônico de Painel,need-to-have,0,0,0,,0
31,2024-01-31,BMB-31,Bomba Auxiliar de Refrigeração,must-have,54,0,48,,69
31,2024-01-31,FUS-12,Fusível Fotônico de Painel,need-to-have,0,0,0,,0
32,2024-02-01,BMB-31,Bomba Auxiliar de Refrigeração,must-have,48,0,45,,0
32,2024-02-01,FUS-12,Fusível Fotônico de Painel,need-to-have,0,0,0,,0
33,2024-02-02,BMB-31,Bomba Auxiliar de Refrigeração,must-have,45,0,41,,0
33,2024-02-02,FUS-12,Fusível Fotônico de Painel,need-to-have,0,0,0,,0
34,2024-02-03,BMB-31,Bomba Auxiliar de Refrigeração,must-have,41,0,37,,0
34,2024-02-03,FUS-12,Fusível Fotônico de Painel,need-to-have,0,69,62,FUS-12-PO003,0
35,2024-02-04,BMB-31,Bomba Auxiliar de Refrigeração,must-have,37,0,30,,0
35,2024-02-04,FUS-12,Fusível Fotônico de Painel,need-to-have,62,0,53,,0
36,2024-02-05,BMB-31,Bomba Auxiliar de Refrigeração,must-have,30,0,22,,0
36,2024-02-05,FUS-12,Fusível Fotônico de Painel,need-to-have,53,0,48,,0
37,2024-02-06,BMB-31,Bomba Auxiliar de Refrigeração,must-have,22,0,15,,0
37,2024-02-06,FUS-12,Fusível Fotônico de Painel,need-to-have,48,0,42,,0
38,2024-02-07,BMB-31,Bomba Auxiliar de Refrigeração,must-have,15,0,10,,0
38,2024-02-07,FUS-12,Fusível Fotônico de Painel,need-to-have,42,0,38,,0
39,2024-02-08,BMB-31,Bomba Auxiliar de Refrigeração,must-have,10,0,5,,0
39,2024-02-08,FUS-12,Fusível Fotônico de Painel,need-to-have,38,0,28,,65
40,2024-02-09,BMB-31,Bomba Auxiliar de Refrigeração,must-have,5,0,2,,0
40,2024-02-09,FUS-12,Fusível Fotônico de Painel,need-to-have,28,0,22,,0
41,2024-02-10,BMB-31,Bomba Auxiliar de Refrigeração,must-have,2,0,0,,0
41,2024-02-10,FUS-12,Fusível Fotônico de Painel,need-to-have,22,0,14,,0
42,2024-02-11,BMB-31,Bomba Auxiliar de Refrigeração,must-have,0,0,0,,0
42,2024-02-11,FUS-12,Fusível Fotônico de Painel,need-to-have,14,0,7,,0
