order_id,order_date,receipt_date,sku,qty_ordered,qty_received,short_qty
BMB-31-PO001,2024-01-02,2024-01-11,BMB-31,74,63,11
FUS-12-PO001,2024-01-03,2024-01-07,FUS-12,57,57,0
FUS-12-PO002,2024-01-11,2024-01-18,FUS-12,68,68,0
BMB-31-PO002,2024-01-14,2024-01-28,BMB-31,68,68,0
FUS-12-PO003,2024-01-24,2024-02-03,FUS-12,69,69,0
BMB-31-PO003,2024-01-31,2024-02-21,BMB-31,69,69,0
FUS-12-PO004,2024-02-08,2024-02-14,FUS-12,65,65,0
FUS-12-PO005,2024-02-19,2024-02-29,FUS-12,69,69,0
BMB-31-PO004,2024-02-24,2024-03-09,BMB-31,68,61,7
FUS-12-PO006,2024-03-06,2024-03-17,FUS-12,65,65,0
BMB-31-PO005,2024-03-11,2024-03-20,BMB-31,72,72,0
FUS-12-PO007,2024-03-21,2024-03-29,FUS-12,57,57,0
BMB-31-PO006,2024-03-23,2024-04-09,BMB-31,64,64,0
FUS-12-PO008,2024-04-01,2024-04-06,FUS-12,61,58,3
FUS-12-PO009,2024-04-10,2024-04-16,FUS-12,69,69,0
BMB-31-PO007,2024-04-11,2024-04-30,BMB-31,76,76,0
FUS-12-PO010,2024-04-23,2024-05-04,FUS-12,59,50,9
BMB-31-PO008,2024-05-03,2024-05-16,BMB-31,76,76,0
FUS-12-PO011,2024-05-06,2024-05-13,FUS-12,64,64,0
FUS-12-PO012,2024-05-17,2024-05-22,FUS-12,61,49,12
BMB-31-PO009,2024-05-19,2024-05-29,BMB-31,78,78,0
FUS-12-PO013,2024-05-24,2024-06-02,FUS-12,63,63,0
BMB-31-PO010,2024-06-03,2024-06-16,BMB-31,69,69,0
FUS-12-PO014,2024-06-07,2024-06-15,FUS-12,57,57,0
FUS-12-PO015,2024-06-17,2024-06-21,FUS-12,59,59,0
BMB-31-PO011,2024-06-18,2024-07-11,BMB-31,69,69,0
FUS-12-PO016,2024-06-26,2024-07-02,FUS-12,65,65,0
FUS-12-PO017,2024-07-07,2024-07-19,FUS-12,65,65,0
BMB-31-PO012,2024-07-13,2024-08-05,BMB-31,76,76,0
FUS-12-PO018,2024-07-23,2024-07-25,FUS-12,65,65,0
FUS-12-PO019,2024-08-01,2024-08-07,FUS-12,59,59,0
BMB-31-PO013,2024-08-09,2024-08-19,BMB-31,73,58,15
FUS-12-PO020,2024-08-12,2024-08-21,FUS-12,57,57,0
BMB-31-PO014,2024-08-20,2024-09-08,BMB-31,77,77,0
FUS-12-PO021,2024-08-25,2024-08-31,FUS-12,59,59,0
FUS-12-PO022,2024-09-04,2024-09-10,FUS-12,67,67,0
BMB-31-PO015,2024-09-12,2024-09-24,BMB-31,73,73,0
FUS-12-PO023,2024-09-14,2024-09-24,FUS-12,62,62,0
BMB-31-PO016,2024-09-28,2024-10-15,BMB-31,78,78,0
FUS-12-PO024,2024-09-28,2024-10-07,FUS-12,64,64,0
FUS-12-PO025,2024-10-12,2024-10-22,FUS-12,59,59,0
BMB-31-PO017,2024-10-19,2024-11-01,BMB-31,71,71,0
FUS-12-PO026,2024-10-26,2024-11-02,FUS-12,68,68,0
BMB-31-PO018,2024-11-04,2024-11-22,BMB-31,65,62,3
FUS-12-PO027,2024-11-07,2024-11-18,FUS-12,58,58,0
FUS-12-PO028,2024-11-22,2024-11-29,FUS-12,64,64,0
BMB-31-PO019,2024-11-24,2024-12-01,BMB-31,77,77,0
FUS-12-PO029,2024-12-03,2024-12-09,FUS-12,68,54,14
BMB-31-PO020,2024-12-08,2024-12-18,BMB-31,65,65,0
FUS-12-PO030,2024-12-11,2024-12-16,FUS-12,57,57,0
BMB-31-PO021,2024-12-21,2025-01-08,BMB-31,73,66,7
FUS-12-PO031,2024-12-21,2024-12-26,FUS-12,58,58,0
FUS-12-PO032,2024-12-29,2025-01-03,FUS-12,61,61,0
FUS-12-PO033,2025-01-07,2025-01-14,FUS-12,68,68,0
BMB-31-PO022,2025-01-10,2025-01-23,BMB-31,76,65,11
FUS-12-PO034,2025-01-19,2025-01-31,FUS-12,66,66,0
BMB-31-PO023,2025-01-26,2025-02-15,BMB-31,76,76,0
FUS-12-PO035,2025-02-04,2025-02-10,FUS-12,58,58,0
FUS-12-PO036,2025-02-16,2025-02-23,FUS-12,64,64,0
BMB-31-PO024,2025-02-19,2025-03-11,BMB-31,78,70,8
FUS-12-PO037,2025-03-01,2025-03-07,FUS-12,63,63,0
FUS-12-PO038,2025-03-11,2025-03-14,FUS-12,65,65,0
BMB-31-PO025,2025-03-14,2025-03-21,BMB-31,69,62,7
FUS-12-PO039,2025-03-19,2025-03-24,FUS-12,59,59,0
BMB-31-PO026,2025-03-25,2025-04-11,BMB-31,66,66,0
FUS-12-PO040,2025-03-27,2025-04-03,FUS-12,66,66,0
FUS-12-PO041,2025-04-07,2025-04-12,FUS-12,68,68,0
BMB-31-PO027,2025-04-13,2025-04-24,BMB-31,69,69,0
FUS-12-PO042,2025-04-18,2025-04-25,FUS-12,59,59,0
BMB-31-PO028,2025-04-27,2025-05-14,BMB-31,66,66,0
FUS-12-PO043,2025-04-28,2025-05-09,FUS-12,61,61,0
FUS-12-PO044,2025-05-14,2025-05-19,FUS-12,70,70,0
BMB-31-PO029,2025-05-17,2025-06-01,BMB-31,77,77,0
FUS-12-PO045,2025-05-25,2025-06-02,FUS-12,61,61,0
BMB-31-PO030,2025-06-05,2025-06-21,BMB-31,73,73,0
FUS-12-PO046,2025-06-06,2025-06-13,FUS-12,68,68,0
FUS-12-PO047,2025-06-18,2025-06-28,FUS-12,58,58,0
BMB-31-PO031,2025-06-24,2025-06-30,BMB-31,68,68,0
FUS-12-PO048,2025-07-03,2025-07-09,FUS-12,61,61,0
BMB-31-PO032,2025-07-07,2025-07-24,BMB-31,65,65,0
FUS-12-PO049,2025-07-13,2025-07-17,FUS-12,65,65,0
FUS-12-PO050,2025-07-21,2025-07-25,FUS-12,59,59,0
BMB-31-PO033,2025-07-26,2025-08-08,BMB-31,66,66,0
FUS-12-PO051,2025-07-31,2025-08-05,FUS-12,57,57,0
FUS-12-PO052,2025-08-08,2025-08-14,FUS-12,59,53,6
BMB-31-PO034,2025-08-10,2025-08-15,BMB-31,70,70,0
FUS-12-PO053,2025-08-16,2025-08-30,FUS-12,66,66,0
BMB-31-PO035,2025-08-24,2025-09-06,BMB-31,75,71,4
FUS-12-PO054,2025-09-04,2025-09-15,FUS-12,67,60,7
BMB-31-PO036,2025-09-09,2025-09-27,BMB-31,73,73,0
FUS-12-PO055,2025-09-19,2025-09-23,FUS-12,70,70,0
FUS-12-PO056,2025-09-30,2025-10-07,FUS-12,64,64,0
BMB-31-PO037,2025-10-01,2025-10-17,BMB-31,70,70,0
