day,date,sku,item_name,criticality,opening_stock,receipts_qty,closing_stock,po_ids_received,order_placed_qty
1,2024-01-01,NAV-18,Módulo de Navegação Inercial,must-have,47,0,44,,0
1,2024-01-01,RVT-09,Rebite Estrutural de Convés,need-to-have,65,0,56,,0
2,2024-01-02,NAV-18,Módulo de Navegação Inercial,must-have,44,0,40,,0
2,2024-01-02,RVT-09,Rebite Estrutural de Convés,need-to-have,56,0,49,,92
3,2024-01-03,NAV-18,Módulo de Navegação Inercial,must-have,40,0,37,,0
3,2024-01-03,RVT-09,Rebite Estrutural de Convés,need-to-have,49,0,41,,0
4,2024-01-04,NAV-18,Módulo de Navegação Inercial,must-have,37,0,33,,53
4,2024-01-04,RVT-09,Rebite Estrutural de Convés,need-to-have,41,0,32,,0
5,2024-01-05,NAV-18,Módulo de Navegação Inercial,must-have,33,0,29,,0
5,2024-01-05,RVT-09,Rebite Estrutural de Convés,need-to-have,32,0,27,,0
6,2024-01-06,NAV-18,Módulo de Navegação Inercial,must-have,29,0,28,,0
6,2024-01-06,RVT-09,Rebite Estrutural de Convés,need-to-have,27,0,19,,0
7,2024-01-07,NAV-18,Módulo de Navegação Inercial,must-have,28,0,23,,0
7,2024-01-07,RVT-09,Rebite Estrutural de Convés,need-to-have,19,0,12,,0
8,2024-01-08,NAV-18,Módulo de Navegação Inercial,must-have,23,0,17,,0
8,2024-01-08,RVT-09,Rebite Estrutural de Convés,need-to-have,12,0,4,,0
9,2024-01-09,NAV-18,Módulo de Navegação Inercial,must-have,17,0,13,,0
9,2024-01-09,RVT-09,Rebite Estrutural de Convés,need-to-have,4,0,0,,0
10,2024-01-10,NAV-18,Módulo de Navegação Inercial,must-have,13,0,9,,0
10,2024-01-10,RVT-09,Rebite Estrutural de Convés,need-to-have,0,0,0,,0
11,2024-01-11,NAV-18,Módulo de Navegação Inercial,must-have,9,0,6,,0
11,2024-01-11,RVT-09,Rebite Estrutural de Convés,need-to-have,0,83,69,RVT-09-PO001,0
12,2024-01-12,NAV-18,Módulo de Navegação Inercial,must-have,6,0,0,,0
12,2024-01-12,RVT-09,Rebite Estrutural de Convés,need-to-have,69,0,66,,0
13,2024-01-13,NAV-18,Módulo de Navegação Inercial,must-have,0,0,0,,0
13,2024-01-13,RVT-09,Rebite Estrutural de Convés,need-to-have,66,0,53,,0
14,2024-01-14,NAV-18,Módulo de Navegação Inercial,must-have,0,0,0,,0
14,2024-01-14,RVT-09,Rebite Estrutural de Convés,need-to-have,53,0,47,,93
15,2024-01-15,NAV-18,Módulo de Navegação Inercial,must-have,0,42,37,NAV-18-PO001,0
15,2024-01-15,RVT-09,Rebite Estrutural de Convés,need-to-have,47,0,35,,0
16,2024-01-16,NAV-18,Módulo de Navegação Inercial,must-have,37,0,33,,57
16,2024-01-16,RVT-09,Rebite Estrutural de Convés,need-to-have,35,0,24,,0
17,2024-01-17,NAV-18,Módulo de Navegação Inercial,must-have,33,0,28,,0
17,2024-01-17,RVT-09,Rebite Estrutural de Convés,need-to-have,24,0,17,,0
18,2024-01-18,NAV-18,Módulo de Navegação Inercial,must-have,28,0,24,,0
18,2024-01-18,RVT-09,Rebite Estrutural de Convés,need-to-have,17,0,11,,0
19,2024-01-19,NAV-18,Módulo de Navegação Inercial,must-have,24,0,19,,0
19,2024-01-19,RVT-09,Rebite Estrutural de Convés,need-to-have,11,0,0,,0
20,2024-01-20,NAV-18,Módulo de Navegação Inercial,must-have,19,0,17,,0
20,2024-01-20,RVT-09,Rebite Estrutural de Convés,need-to-have,0,0,0,,0
21,2024-01-21,NAV-18,Módulo de Navegação Inercial,must-have,17,0,12,,0
21,2024-01-21,RVT-09,Rebite Estrutural de Convés,need-to-have,0,0,0,,0
22,2024-01-22,NAV-18,Módulo de Navegação Inercial,must-have,12,0,6,,0
22,2024-01-22,RVT-09,Rebite Estrutural de Convés,need-to-have,0,0,0,,0
23,2024-01-23,NAV-18,Módulo de Navegação Inercial,must-have,6,0,3,,0
23,2024-01-23,RVT-09,Rebite Estrutural de Convés,need-to-have,0,0,0,,0
24,2024-01-24,NAV-18,Módulo de Navegação Inercial,must-have,3,0,0,,0
