order_id,order_date,receipt_date,sku,qty_ordered,qty_received,short_qty
RVT-09-PO001,2024-01-02,2024-01-11,RVT-09,92,83,9
NAV-18-PO001,2024-01-04,2024-01-15,NAV-18,53,42,11
RVT-09-PO002,2024-01-14,2024-01-25,RVT-09,93,93,0
NAV-18-PO002,2024-01-16,2024-01-30,NAV-18,57,57,0
RVT-09-PO003,2024-01-30,2024-02-08,RVT-09,92,92,0
NAV-18-PO003,2024-02-03,2024-02-18,NAV-18,55,55,0
RVT-09-PO004,2024-02-12,2024-02-18,RVT-09,86,86,0
NAV-18-PO004,2024-02-21,2024-02-27,NAV-18,49,49,0
RVT-09-PO005,2024-02-23,2024-03-06,RVT-09,83,83,0
NAV-18-PO005,2024-03-02,2024-03-16,NAV-18,48,41,7
RVT-09-PO006,2024-03-09,2024-03-14,RVT-09,77,77,0
NAV-18-PO006,2024-03-16,2024-04-01,NAV-18,52,52,0
RVT-09-PO007,2024-03-19,2024-03-30,RVT-09,80,80,0
RVT-09-PO008,2024-04-01,2024-04-07,RVT-09,94,94,0
NAV-18-PO007,2024-04-04,2024-04-17,NAV-18,57,46,11
RVT-09-PO009,2024-04-12,2024-04-21,RVT-09,83,83,0
NAV-18-PO008,2024-04-19,2024-05-07,NAV-18,48,43,5
RVT-09-PO010,2024-04-23,2024-05-04,RVT-09,84,84,0
RVT-09-PO011,2024-05-07,2024-05-18,RVT-09,84,84,0
NAV-18-PO009,2024-05-08,2024-05-19,NAV-18,53,53,0
RVT-09-PO012,2024-05-21,2024-06-01,RVT-09,88,79,9
NAV-18-PO010,2024-05-22,2024-06-02,NAV-18,54,49,5
RVT-09-PO013,2024-06-03,2024-06-11,RVT-09,89,85,4
NAV-18-PO011,2024-06-04,2024-06-10,NAV-18,54,54,0
RVT-09-PO014,2024-06-14,2024-06-18,RVT-09,79,79,0
NAV-18-PO012,2024-06-19,2024-07-07,NAV-18,54,54,0
RVT-09-PO015,2024-06-21,2024-07-01,RVT-09,77,77,0
RVT-09-PO016,2024-07-04,2024-07-16,RVT-09,77,77,0
NAV-18-PO013,2024-07-10,2024-07-23,NAV-18,48,48,0
RVT-09-PO017,2024-07-18,2024-07-23,RVT-09,93,93,0
NAV-18-PO014,2024-07-26,2024-08-08,NAV-18,58,58,0
RVT-09-PO018,2024-07-28,2024-08-08,RVT-09,87,87,0
NAV-18-PO015,2024-08-12,2024-08-21,NAV-18,48,48,0
RVT-09-PO019,2024-08-12,2024-08-22,RVT-09,93,93,0
NAV-18-PO016,2024-08-23,2024-09-04,NAV-18,53,53,0
RVT-09-PO020,2024-08-27,2024-09-04,RVT-09,83,83,0
NAV-18-PO017,2024-09-07,2024-09-24,NAV-18,49,44,5
RVT-09-PO021,2024-09-07,2024-09-16,RVT-09,91,91,0
RVT-09-PO022,2024-09-19,2024-10-01,RVT-09,94,85,9
NAV-18-PO018,2024-09-25,2024-10-11,NAV-18,48,43,5
RVT-09-PO023,2024-10-05,2024-10-15,RVT-09,91,91,0
NAV-18-PO019,2024-10-12,2024-10-22,NAV-18,54,54,0
RVT-09-PO024,2024-10-19,2024-10-25,RVT-09,84,84,0
NAV-18-PO020,2024-10-26,2024-11-12,NAV-18,48,48,0
RVT-09-PO025,2024-10-29,2024-11-17,RVT-09,86,86,0
NAV-18-PO021,2024-11-14,2024-11-30,NAV-18,48,48,0
RVT-09-PO026,2024-11-21,2024-12-03,RVT-09,82,82,0
NAV-18-PO022,2024-12-02,2024-12-23,NAV-18,48,48,0
RVT-09-PO027,2024-12-06,2024-12-16,RVT-09,90,90,0
RVT-09-PO028,2024-12-19,2025-01-01,RVT-09,82,82,0
NAV-18-PO023,2024-12-25,2025-01-10,NAV-18,55,55,0
RVT-09-PO029,2025-01-04,2025-01-16,RVT-09,80,80,0
NAV-18-PO024,2025-01-15,2025-01-31,NAV-18,57,57,0
RVT-09-PO030,2025-01-19,2025-01-27,RVT-09,87,87,0
RVT-09-PO031,2025-02-01,2025-02-11,RVT-09,84,67,17
NAV-18-PO025,2025-02-03,2025-02-20,NAV-18,49,49,0
RVT-09-PO032,2025-02-12,2025-02-23,RVT-09,89,89,0
NAV-18-PO026,2025-02-23,2025-03-06,NAV-18,56,48,8
RVT-09-PO033,2025-02-27,2025-03-08,RVT-09,88,88,0
NAV-18-PO027,2025-03-08,2025-03-23,NAV-18,58,58,0
RVT-09-PO034,2025-03-11,2025-03-20,RVT-09,88,88,0
RVT-09-PO035,2025-03-23,2025-03-31,RVT-09,83,83,0
NAV-18-PO028,2025-03-26,2025-04-09,NAV-18,49,49,0
RVT-09-PO036,2025-04-04,2025-04-08,RVT-09,81,81,0
NAV-18-PO029,2025-04-11,2025-04-29,NAV-18,49,49,0
RVT-09-PO037,2025-04-13,2025-04-21,RVT-09,94,94,0
RVT-09-PO038,2025-04-25,2025-04-30,RVT-09,78,78,0
NAV-18-PO030,2025-05-02,2025-05-12,NAV-18,53,53,0
RVT-09-PO039,2025-05-03,2025-05-09,RVT-09,85,85,0
RVT-09-PO040,2025-05-13,2025-05-26,RVT-09,94,80,14
NAV-18-PO031,2025-05-16,2025-06-01,NAV-18,50,50,0
RVT-09-PO041,2025-05-29,2025-06-12,RVT-09,79,71,8
NAV-18-PO032,2025-06-03,2025-06-20,NAV-18,58,58,0
RVT-09-PO042,2025-06-14,2025-06-22,RVT-09,91,91,0
NAV-18-PO033,2025-06-24,2025-07-11,NAV-18,58,58,0
RVT-09-PO043,2025-06-27,2025-07-11,RVT-09,91,86,5
NAV-18-PO034,2025-07-14,2025-08-05,NAV-18,56,56,0
RVT-09-PO044,2025-07-15,2025-07-21,RVT-09,85,85,0
RVT-09-PO045,2025-07-24,2025-08-04,RVT-09,84,84,0
RVT-09-PO046,2025-08-07,2025-08-14,RVT-09,85,85,0
NAV-18-PO035,2025-08-08,2025-08-22,NAV-18,53,50,3
RVT-09-PO047,2025-08-17,2025-08-22,RVT-09,82,82,0
NAV-18-PO036,2025-08-26,2025-09-07,NAV-18,57,57,0
RVT-09-PO048,2025-08-28,2025-09-07,RVT-09,94,94,0
NAV-18-PO037,2025-09-12,2025-09-27,NAV-18,50,50,0
RVT-09-PO049,2025-09-12,2025-09-22,RVT-09,85,85,0
RVT-09-PO050,2025-09-25,2025-10-03,RVT-09,90,90,0
NAV-18-PO038,2025-09-30,2025-10-18,NAV-18,57,57,0
RVT-09-PO051,2025-10-07,2025-10-21,RVT-09,92,92,0
NAV-18-PO039,2025-10-22,2025-10-30,NAV-18,55,55,0
RVT-09-PO052,2025-10-25,2025-11-05,RVT-09,87,87,0
NAV-18-PO040,2025-11-03,2025-11-18,NAV-18,50,50,0
RVT-09-PO053,2025-11-08,2025-11-16,RVT-09,82,82,0
RVT-09-PO054,2025-11-19,2025-11-30,RVT-09,89,89,0
NAV-18-PO041,2025-11-20,2025-12-09,NAV-18,56,56,0
