day,date,sku,item_name,criticality,opening_stock,receipts_qty,closing_stock,po_ids_received,order_placed_qty
1,2024-01-01,CRT-44,Cartucho de Purga Criogênica,must-have,54,0,50,,0
1,2024-01-01,SEL-03,Selante para Compartimento Úmido,need-to-have,50,0,43,,0
2,2024-01-02,CRT-44,Cartucho de Purga Criogênica,must-have,50,0,40,,63
2,2024-01-02,SEL-03,Selante para Compartimento Úmido,need-to-have,43,0,40,,0
3,2024-01-03,CRT-44,Cartucho de Purga Criogênica,must-have,40,0,34,,0
3,2024-01-03,SEL-03,Selante para Compartimento Úmido,need-to-have,40,0,35,,61
4,2024-01-04,CRT-44,Cartucho de Purga Criogênica,must-have,34,0,30,,0
4,2024-01-04,SEL-03,Selante para Compartimento Úmido,need-to-have,35,0,28,,0
5,2024-01-05,CRT-44,Cartucho de Purga Criogênica,must-have,30,0,27,,0
5,2024-01-05,SEL-03,Selante para Compartimento Úmido,need-to-have,28,0,23,,0
6,2024-01-06,CRT-44,Cartucho de Purga Criogênica,must-have,27,63,83,CRT-44-PO001,0
6,2024-01-06,SEL-03,Selante para Compartimento Úmido,need-to-have,23,0,18,,0
7,2024-01-07,CRT-44,Cartucho de Purga Criogênica,must-have,83,0,80,,0
7,2024-01-07,SEL-03,Selante para Compartimento Úmido,need-to-have,18,0,13,,0
8,2024-01-08,CRT-44,Cartucho de Purga Criogênica,must-have,80,0,74,,0
8,2024-01-08,SEL-03,Selante para Compartimento Úmido,need-to-have,13,0,6,,0
9,2024-01-09,CRT-44,Cartucho de Purga Criogênica,must-have,74,0,68,,0
9,2024-01-09,SEL-03,Selante para Compartimento Úmido,need-to-have,6,61,67,SEL-03-PO001,0
10,2024-01-10,CRT-44,Cartucho de Purga Criogênica,must-have,68,0,64,,0
10,2024-01-10,SEL-03,Selante para Compartimento Úmido,need-to-have,67,0,63,,0
11,2024-01-11,CRT-44,Cartucho de Purga Criogênica,must-have,64,0,59,,0
11,2024-01-11,SEL-03,Selante para Compartimento Úmido,need-to-have,63,0,56,,0
12,2024-01-12,CRT-44,Cartucho de Purga Criogênica,must-have,59,0,53,,0
12,2024-01-12,SEL-03,Selante para Compartimento Úmido,need-to-have,56,0,52,,0
13,2024-01-13,CRT-44,Cartucho de Purga Criogênica,must-have,53,0,48,,0
13,2024-01-13,SEL-03,Selante para Compartimento Úmido,need-to-have,52,0,47,,0
14,2024-01-14,CRT-44,Cartucho de Purga Criogênica,must-have,48,0,43,,0
14,2024-01-14,SEL-03,Selante para Compartimento Úmido,need-to-have,47,0,41,,0
15,2024-01-15,CRT-44,Cartucho de Purga Criogênica,must-have,43,0,34,,72
15,2024-01-15,SEL-03,Selante para Compartimento Úmido,need-to-have,41,0,35,,57
16,2024-01-16,CRT-44,Cartucho de Purga Criogênica,must-have,34,0,28,,0
16,2024-01-16,SEL-03,Selante para Compartimento Úmido,need-to-have,35,0,31,,0
17,2024-01-17,CRT-44,Cartucho de Purga Criogênica,must-have,28,0,27,,0
17,2024-01-17,SEL-03,Selante para Compartimento Úmido,need-to-have,31,0,23,,0
18,2024-01-18,CRT-44,Cartucho de Purga Criogênica,must-have,27,0,19,,0
18,2024-01-18,SEL-03,Selante para Compartimento Úmido,need-to-have,23,0,19,,0
19,2024-01-19,CRT-44,Cartucho de Purga Criogênica,must-have,19,0,13,,0
19,2024-01-19,SEL-03,Selante para Compartimento Úmido,need-to-have,19,0,15,,0
20,2024-01-20,CRT-44,Cartucho de Purga Criogênica,must-have,13,0,3,,0
20,2024-01-20,SEL-03,Selante para Compartimento Úmido,need-to-have,15,0,8,,0
21,2024-01-21,CRT-44,Cartucho de Purga Criogênica,must-have,3,0,0,,0
21,2024-01-21,SEL-03,Selante para Compartimento Úmido,need-to-have,8,0,3,,0
22,2024-01-22,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
22,2024-01-22,SEL-03,Selante para Compartimento Úmido,need-to-have,3,0,0,,0
23,2024-01-23,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
23,2024-01-23,SEL-03,Selante para Compartimento Úmido,need-to-have,0,57,52,SEL-03-PO002,0
24,2024-01-24,CRT-44,Cartucho de Purga Criogênica,must-have,0,72,63,CRT-44-PO002,0
24,2024-01-24,SEL-03,Selante para Compartimento Úmido,need-to-have,52,0,49,,0
25,2024-01-25,CRT-44,Cartucho de Purga Criogênica,must-have,63,0,55,,0
25,2024-01-25,SEL-03,Selante para Compartimento Úmido,need-to-have,49,0,40,,0
26,2024-01-26,CRT-44,Cartucho de Purga Criogênica,must-have,55,0,43,,0
26,2024-01-26,SEL-03,Selante para Compartimento Úmido,need-to-have,40,0,36,,55
27,2024-01-27,CRT-44,Cartucho de Purga Criogênica,must-have,43,0,38,,73
27,2024-01-27,SEL-03,Selante para Compartimento Úmido,need-to-have,36,0,28,,0
28,2024-01-28,CRT-44,Cartucho de Purga Criogênica,must-have,38,0,34,,0
28,2024-01-28,SEL-03,Selante para Compartimento Úmido,need-to-have,28,0,22,,0
29,2024-01-29,CRT-44,Cartucho de Purga Criogênica,must-have,34,0,31,,0
29,2024-01-29,SEL-03,Selante para Compartimento Úmido,need-to-have,22,0,14,,0
30,2024-01-30,CRT-44,Cartucho de Purga Criogênica,must-have,31,0,23,,0
30,2024-01-30,SEL-03,Selante para Compartimento Úmido,need-to-have,14,0,7,,0
31,2024-01-31,CRT-44,Cartucho de Purga Criogênica,must-have,23,0,17,,0
31,2024-01-31,SEL-03,Selante para Compartimento Úmido,need-to-have,7,0,1,,0
32,2024-02-01,CRT-44,Cartucho de Purga Criogênica,must-have,17,0,14,,0
32,2024-02-01,SEL-03,Selante para Compartimento Úmido,need-to-have,1,0,0,,0
33,2024-02-02,CRT-44,Cartucho de Purga Criogênica,must-have,14,0,7,,0
33,2024-02-02,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
34,2024-02-03,CRT-44,Cartucho de Purga Criogênica,must-have,7,0,0,,0
34,2024-02-03,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
35,2024-02-04,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
35,2024-02-04,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
36,2024-02-05,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
36,2024-02-05,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
37,2024-02-06,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
37,2024-02-06,SEL-03,Selante para Compartimento Úmido,need-to-have,0,55,52,SEL-03-PO003,0
38,2024-02-07,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
38,2024-02-07,SEL-03,Selante para Compartimento Úmido,need-to-have,52,0,46,,0
39,2024-02-08,CRT-44,Cartucho de Purga Criogênica,must-have,0,66,61,CRT-44-PO003,0
39,2024-02-08,SEL-03,Selante para Compartimento Úmido,need-to-have,46,0,42,,0
40,2024-02-09,CRT-44,Cartucho de Purga Criogênica,must-have,61,0,54,,0
40,2024-02-09,SEL-03,Selante para Compartimento Úmido,need-to-have,42,0,38,,61
41,2024-02-10,CRT-44,Cartucho de Purga Criogênica,must-have,54,0,46,,0
41,2024-02-10,SEL-03,Selante para Compartimento Úmido,need-to-have,38,0,31,,0
42,2024-02-11,CRT-44,Cartucho de Purga Criogênica,must-have,46,0,42,,0
42,2024-02-11,SEL-03,Selante para Compartimento Úmido,need-to-have,31,0,26,,0
43,2024-02-12,CRT-44,Cartucho de Purga Criogênica,must-have,42,0,36,,68
43,2024-02-12,SEL-03,Selante para Compartimento Úmido,need-to-have,26,0,24,,0
44,2024-02-13,CRT-44,Cartucho de Purga Criogênica,must-have,36,0,26,,0
44,2024-02-13,SEL-03,Selante para Compartimento Úmido,need-to-have,24,0,21,,0
45,2024-02-14,CRT-44,Cartucho de Purga Criogênica,must-have,26,0,21,,0
45,2024-02-14,SEL-03,Selante para Compartimento Úmido,need-to-have,21,0,12,,0
46,2024-02-15,CRT-44,Cartucho de Purga Criogênica,must-have,21,0,17,,0
46,2024-02-15,SEL-03,Selante para Compartimento Úmido,need-to-have,12,0,5,,0
47,2024-02-16,CRT-44,Cartucho de Purga Criogênica,must-have,17,0,8,,0
47,2024-02-16,SEL-03,Selante para Compartimento Úmido,need-to-have,5,0,0,,0
48,2024-02-17,CRT-44,Cartucho de Purga Criogênica,must-have,8,0,0,,0
48,2024-02-17,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
49,2024-02-18,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
49,2024-02-18,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
50,2024-02-19,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
50,2024-02-19,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
51,2024-02-20,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
51,2024-02-20,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
52,2024-02-21,CRT-44,Cartucho de Purga Criogênica,must-have,0,68,63,CRT-44-PO004,0
52,2024-02-21,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
53,2024-02-22,CRT-44,Cartucho de Purga Criogênica,must-have,63,0,54,,0
53,2024-02-22,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
54,2024-02-23,CRT-44,Cartucho de Purga Criogênica,must-have,54,0,45,,0
54,2024-02-23,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
55,2024-02-24,CRT-44,Cartucho de Purga Criogênica,must-have,45,0,41,,60
55,2024-02-24,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
56,2024-02-25,CRT-44,Cartucho de Purga Criogênica,must-have,41,0,31,,0
56,2024-02-25,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
57,2024-02-26,CRT-44,Cartucho de Purga Criogênica,must-have,31,0,20,,0
57,2024-02-26,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
58,2024-02-27,CRT-44,Cartucho de Purga Criogênica,must-have,20,0,13,,0
58,2024-02-27,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
59,2024-02-28,CRT-44,Cartucho de Purga Criogênica,must-have,13,0,4,,0
59,2024-02-28,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
60,2024-02-29,CRT-44,Cartucho de Purga Criogênica,must-have,4,0,0,,0
60,2024-02-29,SEL-03,Selante para Compartimento Úmido,need-to-have,0,61,56,SEL-03-PO004,0
61,2024-03-01,CRT-44,Cartucho de Purga Criogênica,must-have,0,60,50,CRT-44-PO005,0
61,2024-03-01,SEL-03,Selante para Compartimento Úmido,need-to-have,56,0,46,,0
62,2024-03-02,CRT-44,Cartucho de Purga Criogênica,must-have,50,0,43,,0
62,2024-03-02,SEL-03,Selante para Compartimento Úmido,need-to-have,46,0,40,,0
63,2024-03-03,CRT-44,Cartucho de Purga Criogênica,must-have,43,0,31,,61
63,2024-03-03,SEL-03,Selante para Compartimento Úmido,need-to-have,40,0,37,,56
64,2024-03-04,CRT-44,Cartucho de Purga Criogênica,must-have,31,0,18,,0
64,2024-03-04,SEL-03,Selante para Compartimento Úmido,need-to-have,37,0,31,,0
65,2024-03-05,CRT-44,Cartucho de Purga Criogênica,must-have,18,0,13,,0
65,2024-03-05,SEL-03,Selante para Compartimento Úmido,need-to-have,31,0,24,,0
66,2024-03-06,CRT-44,Cartucho de Purga Criogênica,must-have,13,0,9,,0
66,2024-03-06,SEL-03,Selante para Compartimento Úmido,need-to-have,24,0,19,,0
67,2024-03-07,CRT-44,Cartucho de Purga Criogênica,must-have,9,0,4,,0
67,2024-03-07,SEL-03,Selante para Compartimento Úmido,need-to-have,19,0,12,,0
68,2024-03-08,CRT-44,Cartucho de Purga Criogênica,must-have,4,0,0,,0
68,2024-03-08,SEL-03,Selante para Compartimento Úmido,need-to-have,12,0,7,,0
69,2024-03-09,CRT-44,Cartucho de Purga Criogênica,must-have,0,61,53,CRT-44-PO006,0
69,2024-03-09,SEL-03,Selante para Compartimento Úmido,need-to-have,7,0,4,,0
70,2024-03-10,CRT-44,Cartucho de Purga Criogênica,must-have,53,0,46,,0
70,2024-03-10,SEL-03,Selante para Compartimento Úmido,need-to-have,4,0,0,,0
71,2024-03-11,CRT-44,Cartucho de Purga Criogênica,must-have,46,0,40,,60
71,2024-03-11,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
72,2024-03-12,CRT-44,Cartucho de Purga Criogênica,must-have,40,0,33,,0
72,2024-03-12,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
73,2024-03-13,CRT-44,Cartucho de Purga Criogênica,must-have,33,0,25,,0
73,2024-03-13,SEL-03,Selante para Compartimento Úmido,need-to-have,0,56,50,SEL-03-PO005,0
74,2024-03-14,CRT-44,Cartucho de Purga Criogênica,must-have,25,0,19,,0
74,2024-03-14,SEL-03,Selante para Compartimento Úmido,need-to-have,50,0,43,,0
75,2024-03-15,CRT-44,Cartucho de Purga Criogênica,must-have,19,0,11,,0
75,2024-03-15,SEL-03,Selante para Compartimento Úmido,need-to-have,43,0,37,,57
76,2024-03-16,CRT-44,Cartucho de Purga Criogênica,must-have,11,0,1,,0
76,2024-03-16,SEL-03,Selante para Compartimento Úmido,need-to-have,37,0,31,,0
77,2024-03-17,CRT-44,Cartucho de Purga Criogênica,must-have,1,0,0,,0
77,2024-03-17,SEL-03,Selante para Compartimento Úmido,need-to-have,31,0,22,,0
78,2024-03-18,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
78,2024-03-18,SEL-03,Selante para Compartimento Úmido,need-to-have,22,0,16,,0
79,2024-03-19,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
79,2024-03-19,SEL-03,Selante para Compartimento Úmido,need-to-have,16,0,10,,0
80,2024-03-20,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
80,2024-03-20,SEL-03,Selante para Compartimento Úmido,need-to-have,10,0,2,,0
81,2024-03-21,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
81,2024-03-21,SEL-03,Selante para Compartimento Úmido,need-to-have,2,0,0,,0
82,2024-03-22,CRT-44,Cartucho de Purga Criogênica,must-have,0,54,44,CRT-44-PO007,0
82,2024-03-22,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
83,2024-03-23,CRT-44,Cartucho de Purga Criogênica,must-have,44,0,34,,67
83,2024-03-23,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
84,2024-03-24,CRT-44,Cartucho de Purga Criogênica,must-have,34,0,28,,0
84,2024-03-24,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
85,2024-03-25,CRT-44,Cartucho de Purga Criogênica,must-have,28,0,18,,0
85,2024-03-25,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
86,2024-03-26,CRT-44,Cartucho de Purga Criogênica,must-have,18,0,11,,0
86,2024-03-26,SEL-03,Selante para Compartimento Úmido,need-to-have,0,0,0,,0
87,2024-03-27,CRT-44,Cartucho de Purga Criogênica,must-have,11,0,4,,0
87,2024-03-27,SEL-03,Selante para Compartimento Úmido,need-to-have,0,57,53,SEL-03-PO006,0
88,2024-03-28,CRT-44,Cartucho de Purga Criogênica,must-have,4,0,0,,0
88,2024-03-28,SEL-03,Selante para Compartimento Úmido,need-to-have,53,0,47,,0
89,2024-03-29,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
89,2024-03-29,SEL-03,Selante para Compartimento Úmido,need-to-have,47,0,38,,67
90,2024-03-30,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
90,2024-03-30,SEL-03,Selante para Compartimento Úmido,need-to-have,38,0,33,,0
91,2024-03-31,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
91,2024-03-31,SEL-03,Selante para Compartimento Úmido,need-to-have,33,0,29,,0
92,2024-04-01,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
92,2024-04-01,SEL-03,Selante para Compartimento Úmido,need-to-have,29,0,24,,0
93,2024-04-02,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
93,2024-04-02,SEL-03,Selante para Compartimento Úmido,need-to-have,24,0,18,,0
94,2024-04-03,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
94,2024-04-03,SEL-03,Selante para Compartimento Úmido,need-to-have,18,0,13,,0
95,2024-04-04,CRT-44,Cartucho de Purga Criogênica,must-have,0,0,0,,0
95,2024-04-04,SEL-03,Selante para Compartimento Úmido,need-to-have,13,0,7,,0
