order_id,order_date,receipt_date,sku,qty_ordered,qty_received,short_qty
CRT-44-PO001,2024-01-02,2024-01-06,CRT-44,63,63,0
SEL-03-PO001,2024-01-03,2024-01-09,SEL-03,61,61,0
CRT-44-PO002,2024-01-15,2024-01-24,CRT-44,72,72,0
SEL-03-PO002,2024-01-15,2024-01-23,SEL-03,57,57,0
SEL-03-PO003,2024-01-26,2024-02-06,SEL-03,55,55,0
CRT-44-PO003,2024-01-27,2024-02-08,CRT-44,73,66,7
SEL-03-PO004,2024-02-09,2024-02-29,SEL-03,61,61,0
CRT-44-PO004,2024-02-12,2024-02-21,CRT-44,68,68,0
CRT-44-PO005,2024-02-24,2024-03-01,CRT-44,60,60,0
CRT-44-PO006,2024-03-03,2024-03-09,CRT-44,61,61,0
SEL-03-PO005,2024-03-03,2024-03-13,SEL-03,56,56,0
CRT-44-PO007,2024-03-11,2024-03-22,CRT-44,60,54,6
SEL-03-PO006,2024-03-15,2024-03-27,SEL-03,57,57,0
CRT-44-PO008,2024-03-23,2024-04-06,CRT-44,67,67,0
SEL-03-PO007,2024-03-29,2024-04-13,SEL-03,67,67,0
CRT-44-PO009,2024-04-09,2024-04-20,CRT-44,71,71,0
SEL-03-PO008,2024-04-18,2024-04-26,SEL-03,62,62,0
CRT-44-PO010,2024-04-23,2024-05-06,CRT-44,69,69,0
SEL-03-PO009,2024-04-30,2024-05-09,SEL-03,68,68,0
CRT-44-PO011,2024-05-09,2024-05-15,CRT-44,73,73,0
SEL-03-PO010,2024-05-13,2024-05-22,SEL-03,65,65,0
CRT-44-PO012,2024-05-19,2024-05-28,CRT-44,67,67,0
SEL-03-PO011,2024-05-26,2024-06-05,SEL-03,56,56,0
CRT-44-PO013,2024-05-31,2024-06-04,CRT-44,69,69,0
SEL-03-PO012,2024-06-08,2024-06-21,SEL-03,60,48,12
CRT-44-PO014,2024-06-09,2024-06-23,CRT-44,62,62,0
SEL-03-PO013,2024-06-22,2024-07-09,SEL-03,63,63,0
CRT-44-PO015,2024-06-25,2024-07-10,CRT-44,67,67,0
SEL-03-PO014,2024-07-12,2024-07-25,SEL-03,57,57,0
CRT-44-PO016,2024-07-13,2024-07-27,CRT-44,71,71,0
SEL-03-PO015,2024-07-29,2024-08-08,SEL-03,60,51,9
CRT-44-PO017,2024-07-30,2024-08-06,CRT-44,62,62,0
CRT-44-PO018,2024-08-09,2024-08-13,CRT-44,70,70,0
SEL-03-PO016,2024-08-10,2024-08-22,SEL-03,58,46,12
CRT-44-PO019,2024-08-17,2024-08-26,CRT-44,69,69,0
SEL-03-PO017,2024-08-23,2024-08-31,SEL-03,67,67,0
CRT-44-PO020,2024-08-29,2024-09-09,CRT-44,69,69,0
SEL-03-PO018,2024-09-04,2024-09-14,SEL-03,64,58,6
CRT-44-PO021,2024-09-13,2024-09-21,CRT-44,65,65,0
SEL-03-PO019,2024-09-17,2024-10-01,SEL-03,59,56,3
CRT-44-PO022,2024-09-24,2024-10-08,CRT-44,68,68,0
SEL-03-PO020,2024-10-04,2024-10-12,SEL-03,56,56,0
CRT-44-PO023,2024-10-11,2024-10-22,CRT-44,66,66,0
SEL-03-PO021,2024-10-15,2024-10-25,SEL-03,62,56,6
CRT-44-PO024,2024-10-25,2024-11-09,CRT-44,71,71,0
SEL-03-PO022,2024-10-30,2024-11-07,SEL-03,59,59,0
