ano,mes,GEL-01,BRC-04
2021,1,101,52
2021,2,111,51
2021,3,128,59
2021,4,146,64
2021,5,152,60
2021,6,162,60
2021,7,196,61
2021,8,171,67
2021,9,148,65
2021,10,136,56
2021,11,128,44
2021,12,119,51
2022,1,106,37
2022,2,106,44
2022,3,110,48
2022,4,113,55
2022,5,138,66
2022,6,178,55
2022,7,171,61
2022,8,159,63
2022,9,150,50
2022,10,119,55
2022,11,129,55
2022,12,127,43
2023,1,128,44
2023,2,131,56
2023,3,161,63
2023,4,175,72
2023,5,209,98
2023,6,220,98
2023,7,269,92
2023,8,214,79
2023,9,171,86
2023,10,188,70
2023,11,174,83
2023,12,178,71
2024,1,164,51
2024,2,148,59
2024,3,194,72
2024,4,173,73
2024,5,202,72
2024,6,231,78
2024,7,243,90
2024,8,232,75
2024,9,197,60
2024,10,172,65
2024,11,166,69
2024,12,146,65
2025,1,126,57
2025,2,136,59
2025,3,160,64
2025,4,187,71
2025,5,202,89
2025,6,303,107
2025,7,258,106
2025,8,242,91
2025,9,256,95
2025,10,252,92
2025,11,231,87
2025,12,216,57
