ano,mes,OXD-11,TRV-08
2021,1,83,36
2021,2,104,43
2021,3,140,57
2021,4,132,57
2021,5,133,52
2021,6,113,45
2021,7,100,41
2021,8,88,39
2021,9,82,30
2021,10,88,40
2021,11,100,43
2021,12,93,42
2022,1,82,42
2022,2,101,44
2022,3,129,53
2022,4,130,52
2022,5,164,61
2022,6,130,42
2022,7,107,53
2022,8,99,46
2022,9,96,36
2022,10,100,31
2022,11,114,48
2022,12,118,55
2023,1,91,48
2023,2,97,34
2023,3,183,69
2023,4,178,71
2023,5,130,67
2023,6,144,52
2023,7,129,44
2023,8,119,56
2023,9,97,42
2023,10,102,35
2023,11,98,53
2023,12,96,43
2024,1,103,48
2024,2,112,39
2024,3,148,61
2024,4,135,65
2024,5,148,79
2024,6,123,49
2024,7,130,49
2024,8,98,56
2024,9,90,51
2024,10,100,48
2024,11,121,49
2024,12,147,54
2025,1,130,43
2025,2,115,63
2025,3,171,84
2025,4,232,91
2025,5,199,88
2025,6,161,75
2025,7,156,74
2025,8,143,53
2025,9,138,65
2025,10,124,56
2025,11,122,54
2025,12,127,55
