ano,mes,PLG-21,FBR-15
2021,1,130,49
2021,2,121,58
2021,3,115,51
2021,4,127,59
2021,5,144,55
2021,6,159,62
2021,7,128,70
2021,8,159,73
2021,9,179,74
2021,10,163,67
2021,11,113,49
2021,12,106,52
2022,1,97,38
2022,2,92,44
2022,3,104,51
2022,4,97,41
2022,5,124,46
2022,6,110,50
2022,7,140,50
2022,8,163,62
2022,9,151,68
2022,10,158,65
2022,11,120,47
2022,12,106,51
2023,1,113,45
2023,2,109,49
2023,3,134,57
2023,4,145,56
2023,5,134,73
2023,6,163,58
2023,7,174,81
2023,8,218,88
2023,9,217,84
2023,10,217,91
2023,11,149,61
2023,12,146,55
2024,1,134,50
2024,2,139,49
2024,3,134,68
2024,4,130,55
2024,5,145,64
2024,6,147,72
2024,7,132,66
2024,8,155,63
2024,9,167,69
2024,10,155,63
2024,11,118,52
2024,12,100,41
2025,1,93,42
2025,2,99,46
2025,3,107,48
2025,4,106,52
2025,5,121,54
2025,6,134,71
2025,7,146,67
2025,8,184,90
2025,9,222,86
2025,10,216,73
2025,11,157,62
2025,12,133,56
