ano,mes,CMP-31,ANT-06
2021,1,101,52
2021,2,113,51
2021,3,121,62
2021,4,117,64
2021,5,153,53
2021,6,141,58
2021,7,145,74
2021,8,129,61
2021,9,177,64
2021,10,123,67
2021,11,148,44
2021,12,148,45
2022,1,129,59
2022,2,148,42
2022,3,137,45
2022,4,125,51
2022,5,139,56
2022,6,149,63
2022,7,160,48
2022,8,144,60
2022,9,136,56
2022,10,138,47
2022,11,123,35
2022,12,120,71
2023,1,127,46
2023,2,161,49
2023,3,167,54
2023,4,152,44
2023,5,143,78
2023,6,138,99
2023,7,172,87
2023,8,183,82
2023,9,217,66
2023,10,220,69
2023,11,198,65
2023,12,220,78
2024,1,208,76
2024,2,147,93
2024,3,196,63
2024,4,237,68
2024,5,205,70
2024,6,241,85
2024,7,191,108
2024,8,198,75
2024,9,199,60
2024,10,189,69
2024,11,156,76
2024,12,204,80
2025,1,158,97
2025,2,199,89
2025,3,191,78
2025,4,144,76
2025,5,147,78
2025,6,247,73
2025,7,258,79
2025,8,216,74
2025,9,201,84
2025,10,185,93
2025,11,193,94
2025,12,242,109
