ano,mes,TRB-18,ISO-09
2021,1,127,59
2021,2,140,68
2021,3,143,72
2021,4,169,86
2021,5,139,77
2021,6,182,83
2021,7,171,74
2021,8,145,58
2021,9,124,65
2021,10,113,51
2021,11,122,43
2021,12,130,50
2022,1,122,48
2022,2,116,51
2022,3,139,65
2022,4,191,68
2022,5,156,89
2022,6,185,71
2022,7,144,76
2022,8,135,66
2022,9,167,49
2022,10,120,64
2022,11,128,66
2022,12,123,74
2023,1,156,59
2023,2,141,81
2023,3,168,92
2023,4,226,84
2023,5,229,105
2023,6,282,114
2023,7,217,74
2023,8,189,91
2023,9,193,59
2023,10,164,79
2023,11,158,88
2023,12,152,74
2024,1,164,81
2024,2,179,62
2024,3,164,76
2024,4,202,87
2024,5,194,106
2024,6,187,89
2024,7,203,93
2024,8,139,76
2024,9,125,64
2024,10,116,68
2024,11,109,67
2024,12,139,65
2025,1,148,74
2025,2,124,63
2025,3,173,79
2025,4,215,96
2025,5,204,90
2025,6,214,97
2025,7,192,93
2025,8,206,72
2025,9,183,97
2025,10,176,79
2025,11,162,87
2025,12,178,54
