ano,mes,REG-44,GRX-03
2021,1,92,33
2021,2,99,37
2021,3,110,41
2021,4,115,55
2021,5,170,71
2021,6,168,67
2021,7,186,71
2021,8,168,59
2021,9,172,65
2021,10,126,50
2021,11,112,54
2021,12,103,53
2022,1,96,42
2022,2,96,39
2022,3,99,43
2022,4,104,43
2022,5,127,48
2022,6,128,57
2022,7,126,53
2022,8,125,53
2022,9,113,41
2022,10,84,38
2022,11,91,35
2022,12,70,40
2023,1,98,39
2023,2,86,42
2023,3,98,46
2023,4,117,55
2023,5,169,62
2023,6,165,66
2023,7,195,71
2023,8,192,76
2023,9,164,72
2023,10,137,48
2023,11,126,44
2023,12,112,50
2024,1,107,48
2024,2,99,53
2024,3,112,54
2024,4,113,52
2024,5,144,60
2024,6,145,62
2024,7,135,55
2024,8,121,48
2024,9,115,56
2024,10,96,42
2024,11,87,36
2024,12,81,38
2025,1,90,38
2025,2,99,45
2025,3,101,52
2025,4,128,61
2025,5,142,67
2025,6,178,79
2025,7,183,70
2025,8,160,68
2025,9,195,65
2025,10,165,61
2025,11,140,59
2025,12,107,51
