Periodo,Mes_Ano,Demanda_Pecas,Horas_Voo,Temperatura_Media_C,Efetivo_Operacional,Orcamento_Mil_R
1,Jan/2022,238,219,26.4,293,174.9
2,Fev/2022,261,276,25.5,292,181.1
3,Mar/2022,283,284,23.2,292,177.3
4,Abr/2022,279,303,22.1,298,193.4
5,Mai/2022,342,350,19.9,296,179.2
6,Jun/2022,296,313,15.5,294,197.3
7,Jul/2022,311,337,16.9,299,201.9
8,Ago/2022,333,355,18.2,300,200.7
9,Set/2022,290,314,22.6,297,188.4
10,Out/2022,284,295,23.2,298,198.3
11,Nov/2022,277,273,24.6,298,207.0
12,Dez/2022,257,255,26.3,303,189.9
13,Jan/2023,297,286,27.5,302,203.9
14,Fev/2023,271,278,25.8,297,196.6
15,Mar/2023,332,342,23.1,306,198.1
16,Abr/2023,343,374,21.7,303,198.4
17,Mai/2023,337,364,19.2,304,215.0
18,Jun/2023,345,394,15.2,304,197.2
19,Jul/2023,325,368,14.8,307,206.6
20,Ago/2023,378,400,17.6,305,221.3
21,Set/2023,351,384,20.5,307,212.4
22,Out/2023,334,332,24.4,305,211.9
23,Nov/2023,319,312,26.1,307,206.8
24,Dez/2023,286,297,27.1,308,218.6
25,Jan/2024,297,317,26.8,310,218.2
26,Fev/2024,309,304,24.5,312,228.1
27,Mar/2024,310,334,23.4,312,231.2
28,Abr/2024,336,367,22.0,312,228.4
29,Mai/2024,378,414,18.9,307,232.4
30,Jun/2024,365,407,15.1,312,217.8
31,Jul/2024,360,405,17.5,310,226.9
32,Ago/2024,361,403,17.2,312,221.5
33,Set/2024,395,416,20.7,309,239.2
34,Out/2024,343,374,22.7,314,224.1
35,Nov/2024,359,364,26.3,312,239.3
36,Dez/2024,314,323,25.1,312,232.2
37,Jan/2025,345,360,26.7,318,225.9
38,Fev/2025,360,382,24.5,311,229.6
39,Mar/2025,358,381,23.8,312,248.7
40,Abr/2025,407,428,23.1,311,252.0
41,Mai/2025,427,469,20.4,319,233.5
42,Jun/2025,408,436,15.1,312,240.1
43,Jul/2025,418,448,15.3,316,242.7
44,Ago/2025,405,450,19.5,319,237.7
45,Set/2025,402,449,23.4,318,253.5
46,Out/2025,410,423,24.3,322,240.8
47,Nov/2025,352,380,23.7,319,254.7
48,Dez/2025,380,399,24.9,316,254.3
